chunk_id,source,page,chunk_index,chunk_length,chunk_text_preview
federated_learning_ai_p1_c0,Federated Learning AI.pdf,1,0,152,"F E D E R A T E D
L E A R N I N G
Advanced Data Challenge
DANG CONG KHAI
FEDERATED LEARNING FOR LARGE-SCALE AND PRIVACY-PRESERVING AI
HOANG MAI DUC KIEN"
federated_learning_ai_p2_c0,Federated Learning AI.pdf,2,0,570,"MOTIVATION FOR FEDERATED LEARNING
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
Data Transfer Bottleneck: Centralizing massive amounts of edge data
(e.g., continuous video feeds, billions of interactions) is computationally
expensive and strain network bandwidth.
Privacy & Security Imperativ"
federated_learning_ai_p3_c0,Federated Learning AI.pdf,3,0,149,"MOTIVATION FOR FEDERATED LEARNING
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
Centralized leads to a reliance on static tiny biased dataset"
federated_learning_ai_p4_c0,Federated Learning AI.pdf,4,0,81,"WHAT IS FEDERATED LEARNING?
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION"
federated_learning_ai_p5_c0,Federated Learning AI.pdf,5,0,794,"WHAT IS FEDERATED LEARNING?
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
Traditional deep learning requires copying all data to a central server (like an AWS cluster). Federated
Learning (FL) reverses this: it leaves the data securely locked at its origin and sends the algorithm to the data"
federated_learning_ai_p6_c0,Federated Learning AI.pdf,6,0,81,"WHAT IS FEDERATED LEARNING?
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION"
federated_learning_ai_p7_c0,Federated Learning AI.pdf,7,0,405,"WHY USE FEDERATED LEARNING
User privacy
Train models without sharing data
Data sharing agreements are comple
Richer set of potential system configurations
Data, compute and algorithms can be distributed and decentralized
Cooperation between insitutions and entities (even those that compete)
Lower tr"
federated_learning_ai_p8_c0,Federated Learning AI.pdf,8,0,340,"TYPES OF FEDERATED LEARNING 
 BY DEPLOYMENT ARCHITECTURE
Involves thousands to millions of highly constrained
edge devices interacting over unreliable networks.
Mobile keyboards train next-word prediction models
locally based on user typing habits, without
uploading private text messages.
Personaliz"
federated_learning_ai_p9_c0,Federated Learning AI.pdf,9,0,512,"TYPES OF FEDERATED LEARNING 
 BY DEPLOYMENT ARCHITECTURE
Involves a smaller number of highly resourced, reliable
nodes separated by institutional firewalls.
Several hospitals collaborate to train a model that decodes fMRI brain
signals to generate images. The hospitals jointly train the architecture"
federated_learning_ai_p10_c0,Federated Learning AI.pdf,10,0,358,"Horizontal  Federated Learning Vertical  Federated Learning
Same features, different users
Examples: 
Smartphone keyboards
prediction
Cancer prediction across
hospitals
Same users, different features
Examples: 
Predict cancer risk based on hospital data +
genetic lab data
Credit scoring: banks + e-c"
federated_learning_ai_p11_c0,Federated Learning AI.pdf,11,0,113,"TYPES OF FEDERATED LEARNING 
 BY DATA DISTRIBUTION
Horizontal
Federated Learning
Training process 
Local training"
federated_learning_ai_p12_c0,Federated Learning AI.pdf,12,0,97,"TYPES OF FEDERATED LEARNING 
 BY DATA DISTRIBUTION
Vertical  
Federated Learning
Training process"
federated_learning_ai_p13_c0,Federated Learning AI.pdf,13,0,239,"TRAINING ON LOW COMPUTATIONAL-RESOURCE DEVICE
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
LORA
LoRA(Low-Rank Adaption) from https://viblo.asia/p/llm-101-thao-luan-ve-finetune-model-llm-su-dung-lora-low-rank-adaptation-Yym40YQWJ91"
federated_learning_ai_p14_c0,Federated Learning AI.pdf,14,0,543,"DISADVANTAGES
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
Device heterogeneity: each device has different computing power which makes it
hard to train model on each device
Network: Dropped clients, slow wide-area networks
Data is Non-IID:(Not Independently and Identically Distributed): Som"
federated_learning_ai_p15_c0,Federated Learning AI.pdf,15,0,429,"MITIGATION APPROACHES
VNUK - INSTITUTE FOR RESEARCH AND EXECUTIVE EDUCATION
Synthetic data generation: rebalance class distributions via oversampling or under-
sampling, SMOTE (non-IID data distributions)
Weight adjustment during model aggregation: instead of weighting only on dataset
size, we also "
federated_learning_ai_p16_c0,Federated Learning AI.pdf,16,0,52,"VN-UK
@ Institute for Research
& Executive Education"
kolmogorov_arnold_networks_kan_pdf_p1_c0,Kolmogorov–Arnold Networks (KAN).pdf.pdf,1,0,495,"Kolmogorov-Arnold Networks
(KAN)

A New Paradigm for Neural Function Learning

The Shift: Moving from learnable linear weights to learnable nonlinear activation functions

The Goal: Achieving superior accuracy and interpretability in scientific machine learning (AI + Science)

Presenters: Department"
kolmogorov_arnold_networks_kan_pdf_p2_c0,Kolmogorov–Arnold Networks (KAN).pdf.pdf,2,0,342,"Presentation Outline

@ @ EF

1. Problem & 2. Key Insights & 3. Theory & Math
Motivation Core Idea The Kolmogorov-Arnold
The ""Black Box"" of MLPs Learnable edges and moving Representation Theorem &
and the limitations of existing activations from nodes to architecture formulation.
architectures. conn"
kolmogorov_arnold_networks_kan_pdf_p3_c0,Kolmogorov–Arnold Networks (KAN).pdf.pdf,3,0,583,"The Problem —- The ""Black Box"" of MLPs

»= Dominance: MLPs are the foundational blocks

of everything from Classifiers to Transformers.

= The Interpretability Gap: In architectures like
Transformers, MLPs consume most parameters
but remain uninterpretable without heavy post-hoc

analysis.

= Scient"
kolmogorov_arnold_networks_kan_pdf_p4_c0,Kolmogorov–Arnold Networks (KAN).pdf.pdf,4,0,485,"Motivation — Why KAN?

» Why now?: Scientists need models that ""speak"" the language of functions, not just weight matrices.

= The Accuracy Ceiling: MLPs suffer from slow neural scaling laws (N~* or worse), making high-precision

science computationally expensive.

= The Goal: A model that is intrin"
